,Capnocytophaga,Desulfovibrio,Dialister,Methanobrevibacter,Phascolarctobacterium,Prevotella,Victivallis
K02663,0.0209689796382494,-0.0551619427263982,-0.1855828981189116,-0.0989198332218805,0.0565358661493329,-0.0750654922154704,-0.0933289263056582
K03006,0.1688730548641425,0.2362945797418216,-0.0233272304653845,0.2661081327670127,0.1151890783204916,0.0846549611682305,0.2983347440096707
K03283,0.1963086582314475,0.2079612446576159,-0.0322227762893809,0.2879933092764665,0.1545169274501365,0.1382670436965252,0.3885481189139288
K03289,0.2790528048357743,0.3081768831440472,-0.020434248575192,0.2886931482527817,0.3029572325651985,0.7378641407886666,0.3434750089819284
K07671,0.1454101109075803,0.1135052122873284,-0.0941655009003655,0.101977185623701,0.1081425755603137,0.0990256713046096,0.1134636905200094
K09802,0.2005066309401386,0.1521268177515052,0.0198202735590504,0.1707556814619146,0.2286358707128515,0.6688631684592355,0.1741737329854431
K11707,-0.1702890046755887,-0.2231259958968415,0.6970205968941753,-0.1740518699913866,-0.4868226754733065,-0.1584990025243943,-0.2464853749985685
K11708,-0.1616792178496605,-0.2090739016935944,0.7143293305889714,-0.1579186214361192,-0.4788299670417459,-0.1412400025317348,-0.2244947546450106
K11709,-0.1726122644627071,-0.22013254541443,0.6964077480063982,-0.1708260660233812,-0.4899096709014521,-0.1523397629418402,-0.2346939387524803
K11710,-0.1801455473559682,-0.2313671115769637,0.6907565685878679,-0.1773421703814084,-0.4732796097029648,-0.1413037461795279,-0.2254855386598387
K12436,0.126025569922102,0.2012827008635967,-0.0098071780281686,0.1835068971062236,0.0870637605172622,0.0348565421318968,0.180945745685923
