gene1	K00006
gene2	K00025
gene3	K00026
gene4	K00234
gene5	K00235
gene6	K00254
gene7	K00288
gene8	K00328
gene9	K00565
gene10	K00637
gene11	K00649
gene12	K00671
gene13	K00698
gene14	K00710
gene15	K00726
gene16	K00814
gene17	K00861
gene18	K00888
gene19	K00889
gene20	K00898
gene21	K00900
gene22	K00914
gene23	K00922
gene24	K00953
gene25	K00993
gene26	K01001
gene27	K01099
gene28	K01102
gene29	K01106
gene30	K01109
gene31	K01110
gene32	K01196
gene33	K01230
gene34	K01296
gene35	K01363
gene36	K01365
gene37	K01366
gene38	K01392
gene39	K01514
gene40	K01528
gene41	K01530
gene42	K01836
gene43	K01855
gene44	K01899
gene45	K01900
gene46	K01930
gene47	K01969
gene48	K02087
gene49	K02090
gene50	K02144
gene51	K02145
gene52	K02146
gene53	K02147
gene54	K02148
gene55	K02149
gene56	K02150
gene57	K02154
gene58	K02155
gene59	K02180
gene60	K02183
gene61	K02184
gene62	K02208
gene63	K02210
gene64	K02212
gene65	K02218
gene66	K02320
gene67	K02321
gene68	K02324
gene69	K02327
gene70	K02328
gene71	K02331
gene72	K02350
gene73	K02516
gene74	K02537
gene75	K02540
gene76	K02541
gene77	K02542
gene78	K02603
gene79	K02677
gene80	K02684
gene81	K02726
gene82	K02728
gene83	K02729
gene84	K02730
gene85	K02731
gene86	K02732
gene87	K02735
gene88	K02736
gene89	K02737
gene90	K02738
gene91	K02739
gene92	K02865
gene93	K02866
gene94	K02868
gene95	K02870
gene96	K02872
gene97	K02873
gene98	K02877
gene99	K02880
gene100	K02883
gene101	K02889
gene102	K02894
gene103	K02898
gene104	K02900
gene105	K02901
gene106	K02912
gene107	K02925
gene108	K02930
gene109	K02932
gene110	K02934
gene111	K02937
gene112	K02938
gene113	K02940
gene114	K02941
gene115	K02949
gene116	K02951
gene117	K02953
gene118	K02955
gene119	K02957
gene120	K02958
gene121	K02960
gene122	K02964
gene123	K02966
gene124	K02981
gene125	K02984
gene126	K02985
gene127	K02987
gene128	K02989
gene129	K02991
gene130	K02993
gene131	K02995
gene132	K02997
gene133	K02998
gene134	K02999
gene135	K03002
gene136	K03004
gene137	K03006
gene138	K03010
gene139	K03011
gene140	K03013
gene141	K03015
gene142	K03018
gene143	K03021
gene144	K03022
gene145	K03027
gene146	K03030
gene147	K03032
gene148	K03037
gene149	K03038
gene150	K03061
gene151	K03062
gene152	K03063
gene153	K03083
gene154	K03094
gene155	K03097
gene156	K03107
gene157	K03115
gene158	K03130
gene159	K03163
gene160	K03164
gene161	K03165
gene162	K03178
gene163	K03231
gene164	K03233
gene165	K03234
gene166	K03240
gene167	K03246
gene168	K03250
gene169	K03251
gene170	K03252
gene171	K03253
gene172	K03254
gene173	K03255
gene174	K03256
gene175	K03257
gene176	K03260
gene177	K03265
gene178	K03267
gene179	K03283
gene180	K03341
gene181	K03355
gene182	K03363
gene183	K03372
gene184	K03456
gene185	K03678
gene186	K03754
gene187	K03842
gene188	K03843
gene189	K03844
gene190	K03845
gene191	K03846
gene192	K03849
gene193	K03868
gene194	K03874
gene195	K03883
gene196	K03936
gene197	K03941
gene198	K03942
gene199	K03943
gene200	K03953
gene201	K03963
gene202	K04354
gene203	K04371
gene204	K04382
gene205	K04409
gene206	K04412
gene207	K04424
gene208	K04456
gene209	K04460
gene210	K04461
gene211	K04464
gene212	K04482
gene213	K04498
gene214	K04499
gene215	K04505
gene216	K04646
gene217	K04648
gene218	K04649
gene219	K04688
gene220	K04705
gene221	K04706
gene222	K04728
gene223	K05236
gene224	K05284
gene225	K05360
gene226	K05542
gene227	K05543
gene228	K05544
gene229	K05546
gene230	K05641
gene231	K05642
gene232	K05643
gene233	K05665
gene234	K05668
gene235	K05670
gene236	K05674
gene237	K05692
gene238	K05722
gene239	K05724
gene240	K05765
gene241	K05853
gene242	K05864
gene243	K05868
gene244	K05925
gene245	K05931
gene246	K05954
gene247	K05955
gene248	K06043
gene249	K06062
gene250	K06063
gene251	K06067
gene252	K06125
gene253	K06184
gene254	K06269
gene255	K06276
gene256	K06515
gene257	K06628
gene258	K06630
gene259	K06636
gene260	K06639
gene261	K06640
gene262	K06641
gene263	K06655
gene264	K06669
gene265	K06674
gene266	K06675
