source,target,Value
K02663,K03006,0.0069023547606934
K02663,K03283,0.0086556551646224
K03006,K03283,0.5436004043680206
K02663,K03289,-0.1447406648542893
K03006,K03289,0.1128413350752763
K03283,K03289,0.1870868281944428
K02663,K07671,0.084086397339074
K03006,K07671,0.0095605902960172
K03283,K07671,0.0345365538307558
K03289,K07671,0.0461505140517589
K02663,K09802,-0.1240531645672176
K03006,K09802,0.0363483860667006
K03283,K09802,0.0987080648041494
K03289,K09802,0.6910205179914697
K07671,K09802,-0.0350619513468614
K02663,K11707,-0.0067139269455149
K03006,K11707,-0.0910878386919615
K03283,K11707,-0.0909590199049258
K03289,K11707,-0.1656417104612396
K07671,K11707,-0.1130487720147141
K09802,K11707,-0.0525320600370767
K02663,K11708,-0.0346389457760532
K03006,K11708,-0.0866982774845114
K03283,K11708,-0.085822704181574
K03289,K11708,-0.1560658781176802
K07671,K11708,-0.1244799339702207
K09802,K11708,-0.0364008577187608
K11707,K11708,0.8914778736754373
K02663,K11709,-0.0069559138628234
K03006,K11709,-0.1095731584480452
K03283,K11709,-0.1220313436269593
K03289,K11709,-0.1781345039046399
K07671,K11709,-0.1081761791228968
K09802,K11709,-0.0467635968752244
K11707,K11709,0.8869265206520869
K11708,K11709,0.8851668494395811
K02663,K11710,-0.0250663543020716
K03006,K11710,-0.0716960790636484
K03283,K11710,-0.0701923339839345
K03289,K11710,-0.1595846879137411
K07671,K11710,-0.0978572028494721
K09802,K11710,-0.0369650927011363
K11707,K11710,0.8700541123883619
K11708,K11710,0.863384012029534
K11709,K11710,0.8556564805010195
K02663,K12436,-0.0187794387154969
K03006,K12436,0.2981044789288983
K03283,K12436,0.2260810044868803
K03289,K12436,0.0628089632365609
K07671,K12436,0.0486675027166612
K09802,K12436,0.0043297126466016
K11707,K12436,-0.0968457635760476
K11708,K12436,-0.0845006065190057
K11709,K12436,-0.0826289156219653
K11710,K12436,-0.0852422023289035
