source,target,Value
K00561,K02663,-0.2006295641490844
K00561,K04058,-0.0774237370646513
K02663,K04058,0.1611803525409636
K00561,K06418,-0.1418849157485508
K02663,K06418,0.1380099975996708
K04058,K06418,0.0130980272995599
K00561,K06900,0.0602026895407186
K02663,K06900,-0.0375817942636733
K04058,K06900,-0.1273073090085018
K06418,K06900,0.1841656879178703
K00561,K11328,0.018543883788008
K02663,K11328,0.0650177707397603
K04058,K11328,0.1147341281873043
K06418,K11328,0.1513503721268217
K06900,K11328,0.0174358755352574
K00561,K11337,0.1384167015002207
K02663,K11337,0.0441509136499723
K04058,K11337,0.0588283842024568
K06418,K11337,0.270141100148124
K06900,K11337,0.1090973529170396
K11328,K11337,-0.1194440524302363
K00561,K12991,0.0707106190223254
K02663,K12991,-0.0389107666038673
K04058,K12991,-0.1100127711727456
K06418,K12991,0.2405362822673543
K06900,K12991,0.2365896801698618
K11328,K12991,0.0903357753189018
K11337,K12991,-0.0023268209552321
