source,target,Value
K00314,K02663,-0.0458411749381898
K00314,K02664,0.1500198980885388
K02663,K02664,-0.0797463462188438
K00314,K04110,0.0383780366696118
K02663,K04110,0.016794706893438
K02664,K04110,-0.0300217502206454
K00314,K06893,0.2161061211179232
K02663,K06893,0.0293662264259017
K02664,K06893,0.1170190823713657
K04110,K06893,0.0882256764180038
K00314,K07022,0.0624101159212185
K02663,K07022,-0.1222402935727652
K02664,K07022,0.1521511821378603
K04110,K07022,0.0390841673777885
K06893,K07022,0.0716433874251668
K00314,K07389,-0.0497156005882935
K02663,K07389,0.6410625380202324
K02664,K07389,-0.0419683329556157
K04110,K07389,-0.0565698926797282
K06893,K07389,0.0178568807469443
K07022,K07389,-0.0972729941560902
K00314,K07671,-0.003137189220325
K02663,K07671,0.015250380295807
K02664,K07671,-0.0158312296532146
K04110,K07671,0.042573475789535
K06893,K07671,0.1213587776928513
K07022,K07671,-0.0299984797336356
K07389,K07671,-0.0275064420988373
K00314,K09490,0.1145393389376998
K02663,K09490,0.0328118933738402
K02664,K09490,0.3104245014583822
K04110,K09490,0.0126273754368474
K06893,K09490,0.1326250973784912
K07022,K09490,0.1865087496831549
K07389,K09490,-0.0656361742000347
K07671,K09490,0.1467492183205908
K00314,K10562,0.0415582009700967
K02663,K10562,-0.0349474862725197
K02664,K10562,0.1937126923071642
K04110,K10562,0.0318574169569297
K06893,K10562,0.0148244463658835
K07022,K10562,0.0594139017288745
K07389,K10562,0.0431652733998807
K07671,K10562,0.0150976139483906
K09490,K10562,0.1559776931678828
K00314,K11707,-0.1687666157012504
K02663,K11707,0.0460503948591061
K02664,K11707,-0.1635946734208832
K04110,K11707,0.1427893851378995
K06893,K11707,-0.0630655860583774
K07022,K11707,-0.0925274430318966
K07389,K11707,0.0472914319797418
K07671,K11707,-0.1201633971724127
K09490,K11707,-0.0955287155544026
K10562,K11707,0.0217313164369473
K00314,K11708,-0.1540423817994109
K02663,K11708,0.0268232816048616
K02664,K11708,-0.214401679830283
K04110,K11708,0.1171940891751812
K06893,K11708,-0.0757091350846723
K07022,K11708,-0.0938824602716413
K07389,K11708,0.0428215945669223
K07671,K11708,-0.1427131554281984
K09490,K11708,-0.1100770864502168
K10562,K11708,-0.0164653020610687
K11707,K11708,0.8631198845614703
K00314,K11709,-0.1499192273596692
K02663,K11709,0.0647545741120696
K02664,K11709,-0.2001441832885614
K04110,K11709,0.1600480390480021
K06893,K11709,-0.0674220961018676
K07022,K11709,-0.0789218998811427
K07389,K11709,0.0541018281322183
K07671,K11709,-0.0921958570070606
K09490,K11709,-0.1109997192539347
K10562,K11709,-0.0215852566123916
K11707,K11709,0.8239557263257247
K11708,K11709,0.8506490064346368
K00314,K11710,-0.1441296628246621
K02663,K11710,-0.0014698757566866
K02664,K11710,-0.2045371232913039
K04110,K11710,0.1142090764964994
K06893,K11710,-0.0900128682464493
K07022,K11710,-0.1262960748207864
K07389,K11710,0.0157987897807805
K07671,K11710,-0.1113750631870257
K09490,K11710,-0.0948016728163764
K10562,K11710,-0.0136511779916435
K11707,K11710,0.8287818512404115
K11708,K11710,0.8169669688521227
K11709,K11710,0.8179039678175913
K00314,K12856,0.0960104653853914
K02663,K12856,0.0147612308644076
K02664,K12856,0.2666752240369341
K04110,K12856,0.003740167364616
K06893,K12856,0.0643312876796979
K07022,K12856,0.0948395893787028
K07389,K12856,-0.0632345591587621
K07671,K12856,0.0348858355791841
K09490,K12856,0.5580973193587273
K10562,K12856,0.0673767143451349
K11707,K12856,-0.1064445417367577
K11708,K12856,-0.1022438360389679
K11709,K12856,-0.0898040477074692
K11710,K12856,-0.0989338443509304
K00314,K13931,0.0336234979256786
K02663,K13931,0.2750321532630855
K02664,K13931,0.0620307363545262
K04110,K13931,-0.1172452539416428
K06893,K13931,-0.0290304119373856
K07022,K13931,-0.015880999814456
K07389,K13931,0.279897327131317
K07671,K13931,0.0253700762043821
K09490,K13931,0.0950376659227535
K10562,K13931,0.1065126073961531
K11707,K13931,-0.2049688263643277
K11708,K13931,-0.193055903735277
K11709,K13931,-0.2181719694147142
K11710,K13931,-0.2485081613745128
K12856,K13931,0.0227396265556439
