source,target,Value
K01822,K03607,0.444409960429294
K01822,K04789,0.6311810069591174
K03607,K04789,0.3590676223060592
K01822,K04790,0.7043943835558572
K03607,K04790,0.3736690184416668
K04789,K04790,0.6704198411005409
K01822,K06718,0.6993467073626725
K03607,K06718,0.404023578096692
K04789,K06718,0.6438673438781697
K04790,K06718,0.7673943730650818
K01822,K07011,0.3504811102678191
K03607,K07011,0.7060030106192707
K04789,K07011,0.2697000411301897
K04790,K07011,0.2859775441491226
K06718,K07011,0.3188862202955081
K01822,K07068,0.6580011321825918
K03607,K07068,0.3993302069456235
K04789,K07068,0.5731908986592986
K04790,K07068,0.6132877812087754
K06718,K07068,0.6825135318178007
K07011,K07068,0.433673788357669
K01822,K07313,0.3285346122745645
K03607,K07313,0.7870462411976424
K04789,K07313,0.3313751380945855
K04790,K07313,0.2994556369497275
K06718,K07313,0.3337488198022112
K07011,K07313,0.7658922273059906
K07068,K07313,0.4258053380228059
K01822,K07334,0.3877590046992345
K03607,K07334,0.8385757392178357
K04789,K07334,0.3470762674412168
K04790,K07334,0.3637163984841516
K06718,K07334,0.334008392917587
K07011,K07334,0.7442236032596713
K07068,K07334,0.4237528718023061
K07313,K07334,0.8222258244385952
K01822,K07671,0.7364406488832245
K03607,K07671,0.4075379811000215
K04789,K07671,0.683197620360767
K04790,K07671,0.7476982952740467
K06718,K07671,0.7510721704715523
K07011,K07671,0.3326834224965629
K07068,K07671,0.6716748842125735
K07313,K07671,0.3288841376256493
K07334,K07671,0.3622498664746886
K01822,K08095,0.732940449322728
K03607,K08095,0.4101906153568798
K04789,K08095,0.6523688485841178
K04790,K08095,0.7654895576929402
K06718,K08095,0.7564133426301799
K07011,K08095,0.3163578279098742
K07068,K08095,0.6819682037506618
K07313,K08095,0.2751749784820314
K07334,K08095,0.3264261979632515
K07671,K08095,0.7447696829114255
K01822,K09472,0.4606117888550423
K03607,K09472,0.8431335813268832
K04789,K09472,0.3613150183597446
K04790,K09472,0.3861518605918959
K06718,K09472,0.424434394294874
K07011,K09472,0.7391602638398835
K07068,K09472,0.4196618191322025
K07313,K09472,0.8216880732041186
K07334,K09472,0.8424424237026743
K07671,K09472,0.4112742959902571
K08095,K09472,0.3749159925056807
K01822,K10533,0.6605269215589773
K03607,K10533,0.2733375659208687
K04789,K10533,0.5756077224906353
K04790,K10533,0.7049362297456749
K06718,K10533,0.6837990246648901
K07011,K10533,0.2863583757992481
K07068,K10533,0.6868971449614325
K07313,K10533,0.2916416420747845
K07334,K10533,0.2930281314122752
K07671,K10533,0.7029349689985762
K08095,K10533,0.6435598360152904
K09472,K10533,0.3152273927799757
K01822,K11081,0.5501866230612769
K03607,K11081,0.3689256993010251
K04789,K11081,0.5594217353596329
K04790,K11081,0.5553713196711775
K06718,K11081,0.5011442192195815
K07011,K11081,0.3282354773926738
K07068,K11081,0.5713597733667451
K07313,K11081,0.3178134225304045
K07334,K11081,0.3300386143169237
K07671,K11081,0.6098690908524977
K08095,K11081,0.5393379498519508
K09472,K11081,0.3489738396220695
K10533,K11081,0.4852921844991671
K01822,K11084,0.57155250304058
K03607,K11084,0.3180886777413196
K04789,K11084,0.5602158481479603
K04790,K11084,0.5889321197924574
K06718,K11084,0.5432973493620766
K07011,K11084,0.2329871566965525
K07068,K11084,0.580618614386602
K07313,K11084,0.2631501025330336
K07334,K11084,0.2678494373189713
K07671,K11084,0.5995326215148645
K08095,K11084,0.5775889902962656
K09472,K11084,0.3078404114207416
K10533,K11084,0.5373340726305363
K11081,K11084,0.6839392342941046
K01822,K11534,0.3964133290990039
K03607,K11534,0.8293135666354139
K04789,K11534,0.3164466655520779
K04790,K11534,0.355476999477721
K06718,K11534,0.3877477619333482
K07011,K11534,0.7099597117790544
K07068,K11534,0.4009199935114625
K07313,K11534,0.7648509062673368
K07334,K11534,0.8016932812954546
K07671,K11534,0.3678678974866114
K08095,K11534,0.3286218728519723
K09472,K11534,0.8014084136197265
K10533,K11534,0.3070498299275716
K11081,K11534,0.3515626924715445
K11084,K11534,0.3295767774382473
K01822,K11609,0.6521171646288797
K03607,K11609,0.4289885869138118
K04789,K11609,0.6393337699654951
K04790,K11609,0.6985734457012689
K06718,K11609,0.7158980747308966
K07011,K11609,0.4006496230432478
K07068,K11609,0.6800692981194298
K07313,K11609,0.368292968530227
K07334,K11609,0.4058448327950499
K07671,K11609,0.6657573157547937
K08095,K11609,0.6404937279982236
K09472,K11609,0.4473521498706508
K10533,K11609,0.6384678017889907
K11081,K11609,0.5492018459070078
K11084,K11609,0.5597797468007385
K11534,K11609,0.3982996720986784
K01822,K11610,0.6089046916201177
K03607,K11610,0.4096425857348231
K04789,K11610,0.5650115813335681
K04790,K11610,0.5811836576132324
K06718,K11610,0.5791483341320025
K07011,K11610,0.374122880951113
K07068,K11610,0.6252794172828768
K07313,K11610,0.4104658762062222
K07334,K11610,0.4061578712304359
K07671,K11610,0.6243599207888494
K08095,K11610,0.5477199260377775
K09472,K11610,0.382583054584694
K10533,K11610,0.5608454885232996
K11081,K11610,0.5414837791298246
K11084,K11610,0.5408395848552383
K11534,K11610,0.3921827562978041
K11609,K11610,0.6191605129728499
K01822,K11611,0.660489028362628
K03607,K11611,0.3999222224846841
K04789,K11611,0.6251457480207012
K04790,K11611,0.6523055739969505
K06718,K11611,0.6438670000499495
K07011,K11611,0.3637641984519776
K07068,K11611,0.6168481516931646
K07313,K11611,0.4002739211776071
K07334,K11611,0.4123398239486811
