source,target,Value
K00076,K00365,0.6562718793359228
K00076,K00545,0.6293499617649279
K00365,K00545,0.6366150968216003
K00076,K01569,0.5200650998712135
K00365,K01569,0.6066157145926272
K00545,K01569,0.6849517349036378
K00076,K01822,0.5395387910611354
K00365,K01822,0.6012479604793799
K00545,K01822,0.4714949248928095
K01569,K01822,0.5490589262208128
K00076,K02164,0.5637252077476489
K00365,K02164,0.5956621296403836
K00545,K02164,0.53650559670231
K01569,K02164,0.5042701067123025
K01822,K02164,0.4910336183717769
K00076,K03607,0.3391722468662783
K00365,K03607,0.3251928884860248
K00545,K03607,0.3073153323715509
K01569,K03607,0.3482932033195623
K01822,K03607,0.4030629374930902
K02164,K03607,0.3620328685445292
K00076,K03822,0.5802469479744012
K00365,K03822,0.662989130886984
K00545,K03822,0.5394707674651118
K01569,K03822,0.6106163277125387
K01822,K03822,0.7241405687724033
K02164,K03822,0.4757826883061714
K03607,K03822,0.4329034873834791
K00076,K03829,0.6390548154191287
K00365,K03829,0.6719960275564668
K00545,K03829,0.6120368874592347
K01569,K03829,0.5775854941656334
K01822,K03829,0.6190879816373632
K02164,K03829,0.6604683170328495
K03607,K03829,0.3496053794167691
K03822,K03829,0.6229687926725477
K00076,K04781,0.527686182005314
K00365,K04781,0.5326708795161338
K00545,K04781,0.5303513067878972
K01569,K04781,0.570744771116164
K01822,K04781,0.5421778246974585
K02164,K04781,0.3863592142922075
K03607,K04781,0.4321158850935703
K03822,K04781,0.6181560259904911
K03829,K04781,0.5152266770397463
K00076,K04789,0.5211678306213255
K00365,K04789,0.5929369554166477
K00545,K04789,0.5496472783288856
K01569,K04789,0.5912594111356606
K01822,K04789,0.6299847236758984
K02164,K04789,0.4414064705032369
K03607,K04789,0.3302679169028977
K03822,K04789,0.6776574599294468
K03829,K04789,0.5689123779682349
K04781,K04789,0.6053776610252832
K00076,K04790,0.4896548096962873
K00365,K04790,0.5168944738604676
K00545,K04790,0.4748914346280636
K01569,K04790,0.5213091167629924
K01822,K04790,0.7069771212032672
K02164,K04790,0.4618478979350321
K03607,K04790,0.4086268797985007
K03822,K04790,0.7231059949510898
K03829,K04790,0.5513182804329728
K04781,K04790,0.5520105190478762
K04789,K04790,0.6754176288103492
K00076,K04791,0.4750227427123885
K00365,K04791,0.4752527747850242
K00545,K04791,0.5126217919504203
K01569,K04791,0.5039436102437944
K01822,K04791,0.6150543235024729
K02164,K04791,0.4665421103924167
K03607,K04791,0.4327571580678945
K03822,K04791,0.5839562250638235
K03829,K04791,0.5704765313934764
K04781,K04791,0.5781825394576372
K04789,K04791,0.6747513671314276
K04790,K04791,0.6013209230437747
K00076,K05898,0.6014063666858295
K00365,K05898,0.6617109986945938
K00545,K05898,0.5342092322238501
K01569,K05898,0.5508618254296787
K01822,K05898,0.6428125077214899
K02164,K05898,0.5824675903141566
K03607,K05898,0.3963191375782647
K03822,K05898,0.7019437524490828
K03829,K05898,0.732748194825642
K04781,K05898,0.540913858076902
K04789,K05898,0.6590698802814178
K04790,K05898,0.6362954210778723
K04791,K05898,0.5972314415454284
K00076,K06718,0.5704211361145546
K00365,K06718,0.6155875138489454
K00545,K06718,0.5274464990109881
K01569,K06718,0.6042694957792949
K01822,K06718,0.7043341155425535
K02164,K06718,0.466882506220665
K03607,K06718,0.3845418370460505
K03822,K06718,0.8195110453380152
K03829,K06718,0.6657740037945015
K04781,K06718,0.6005173382071721
K04789,K06718,0.674808704336765
K04790,K06718,0.7387148081471882
K04791,K06718,0.5642732447324017
K05898,K06718,0.7044677725778503
K00076,K06937,0.6129169299046886
K00365,K06937,0.6813349579975834
K00545,K06937,0.6351965019475645
K01569,K06937,0.5794738224647531
K01822,K06937,0.5855278896385978
K02164,K06937,0.5238929685657095
K03607,K06937,0.3294116233020028
K03822,K06937,0.6302511336016374
K03829,K06937,0.6046395820332969
K04781,K06937,0.5311919157028493
K04789,K06937,0.6258301132737236
K04790,K06937,0.5270311978571585
K04791,K06937,0.5296358026705295
K05898,K06937,0.6307087632307733
K06718,K06937,0.625704845322673
K00076,K07011,0.3208658252553651
K00365,K07011,0.3468061078071374
K00545,K07011,0.288240510995828
K01569,K07011,0.259134412454803
K01822,K07011,0.2612890481828581
K02164,K07011,0.3392051242774259
K03607,K07011,0.6999240710867783
K03822,K07011,0.289189957295312
K03829,K07011,0.3956930886438524
K04781,K07011,0.2692487362702578
K04789,K07011,0.2125266661152797
K04790,K07011,0.2428437421803688
K04791,K07011,0.2919724596540899
K05898,K07011,0.3438881655450319
K06718,K07011,0.2642336837752769
K06937,K07011,0.2698707129804054
K00076,K07068,0.6394949032631937
K00365,K07068,0.6184056738859068
K00545,K07068,0.5721534788321212
K01569,K07068,0.563864229503611
K01822,K07068,0.6566719109195875
K02164,K07068,0.6067763509464429
K03607,K07068,0.384908225533136
K03822,K07068,0.6683854337025571
K03829,K07068,0.7362862970737036
K04781,K07068,0.5152116836892181
K04789,K07068,0.5892846842339746
K04790,K07068,0.6232316913383079
K04791,K07068,0.570443974931286
K05898,K07068,0.7096384363865924
K06718,K07068,0.682361540448533
K06937,K07068,0.6145764040989841
K07011,K07068,0.3887016281747927
K00076,K07334,0.3545392860964366
K00365,K07334,0.3866914421624389
K00545,K07334,0.3248341221380866
K01569,K07334,0.323562672784606
K01822,K07334,0.3663698909104435
K02164,K07334,0.3699273924719609
K03607,K07334,0.8268020740386818
K03822,K07334,0.3908909910311289
K03829,K07334,0.4150565040492481
K04781,K07334,0.3939758285635673
K04789,K07334,0.342909657595655
K04790,K07334,0.341310575870969
K04791,K07334,0.3749107022382755
K05898,K07334,0.3607066119855955
K06718,K07334,0.3553670915701021
K06937,K07334,0.3591432074299828
K07011,K07334,0.7542941582965899
K07068,K07334,0.370520598584634
K00076,K07671,0.5532531528774627
K00365,K07671,0.6327662185524333
K00545,K07671,0.551842641943455
K01569,K07671,0.5732795320873068
K01822,K07671,0.6745137577816929
K02164,K07671,0.5009164496722964
K03607,K07671,0.373249842325767
K03822,K07671,0.7328793729272504
K03829,K07671,0.6476427300173909
K04781,K07671,0.5037042183690071
K04789,K07671,0.640844911868687
K04790,K07671,0.669339132527451
K04791,K07671,0.5583105309514709
K05898,K07671,0.642767616997727
K06718,K07671,0.774364863327146
K06937,K07671,0.6070509034263949
K07011,K07671,0.2718193256362848
K07068,K07671,0.6180555019227885
K07334,K07671,0.3555744698317648
K00076,K08095,0.5505134092855971
K00365,K08095,0.6047496394071267
K00545,K08095,0.6031946484430937
K01569,K08095,0.73360315687727
K01822,K08095,0.6710302983879638
K02164,K08095,0.4796300896662682
K03607,K08095,0.3184439723765394
K03822,K08095,0.7299059449624588
K03829,K08095,0.5627562072841188
K04781,K08095,0.5720140195652738
K04789,K08095,0.6775526570859156
K04790,K08095,0.7000025895882304
K04791,K08095,0.5858728815183442
K05898,K08095,0.6317355376194335
K06718,K08095,0.749393210139888
K06937,K08095,0.6010901300731001
K07011,K08095,0.1887686402337823
K07068,K08095,0.6334586042743368
K07334,K08095,0.2685262273218015
K07671,K08095,0.710953067790129
K00076,K08726,0.6080132582729932
K00365,K08726,0.7149120382012115
K00545,K08726,0.669587895690515
K01569,K08726,0.659519547890498
K01822,K08726,0.5582832892645379
K02164,K08726,0.560940025295242
K03607,K08726,0.369946194326693
K03822,K08726,0.6254681934703724
K03829,K08726,0.651762216724857
K04781,K08726,0.5649520993415753
K04789,K08726,0.5765089908971832
K04790,K08726,0.5665018817175388
K04791,K08726,0.5093258338135717
K05898,K08726,0.6303616940796042
K06718,K08726,0.6394964775169703
K06937,K08726,0.6302599440849858
K07011,K08726,0.3083354088433847
K07068,K08726,0.6117884990791341
K07334,K08726,0.3875644524570373
K07671,K08726,0.6126286984435233
K08095,K08726,0.636710545946253
K00076,K09146,0.5632773171525265
K00365,K09146,0.6612309201122105
K00545,K09146,0.5805312631734852
K01569,K09146,0.579054392692844
K01822,K09146,0.5683754838151858
K02164,K09146,0.5428210654716498
K03607,K09146,0.396578703683175
K03822,K09146,0.6245007184618581
K03829,K09146,0.5745524496180506
K04781,K09146,0.6201009131788638
K04789,K09146,0.5493372705459683
K04790,K09146,0.5476765941841105
K04791,K09146,0.5230102339639233
K05898,K09146,0.6417331513806536
K06718,K09146,0.59307097907426
K06937,K09146,0.6412267456575186
K07011,K09146,0.2980275632980328
K07068,K09146,0.6065379211225779
K07334,K09146,0.3463199096423934
K07671,K09146,0.5740879327441417
K08095,K09146,0.5935566021666175
K08726,K09146,0.6380014814977288
K00076,K09472,0.3601525871010276
K00365,K09472,0.3632662756947203
K00545,K09472,0.3503258499755808
K01569,K09472,0.3490004844608801
K01822,K09472,0.3775850205323518
K02164,K09472,0.4274541550332631
K03607,K09472,0.8612252468843478
K03822,K09472,0.4278502760171426
K03829,K09472,0.3732132396843775
K04781,K09472,0.3661170195334113
K04789,K09472,0.3179875590232807
K04790,K09472,0.3638336263767729
K04791,K09472,0.3922184894477022
K05898,K09472,0.3905279934266516
K06718,K09472,0.3780643174767032
K06937,K09472,0.3572931714378214
K07011,K09472,0.746874250235714
K07068,K09472,0.3874027287613636
K07334,K09472,0.8157138854867294
K07671,K09472,0.372289190630346
K08095,K09472,0.2843199220159124
K08726,K09472,0.3802669364385802
K09146,K09472,0.3643467657588454
K00076,K09882,0.6494193680737975
K00365,K09882,0.6564148787011569
K00545,K09882,0.5766889179066477
K01569,K09882,0.5121458517059975
K01822,K09882,0.53338018366665
K02164,K09882,0.648786959967828
K03607,K09882,0.353956093206775
K03822,K09882,0.6038275210384658
K03829,K09882,0.7943649425763576
K04781,K09882,0.4995627515164091
K04789,K09882,0.5457797180782403
K04790,K09882,0.4743411140230549
K04791,K09882,0.4914634626566806
K05898,K09882,0.731848634582739
K06718,K09882,0.6427293498438859
K06937,K09882,0.6190674564984866
K07011,K09882,0.3618573340082791
K07068,K09882,0.6516459768892271
K07334,K09882,0.4082794998702647
K07671,K09882,0.6020451214413679
K08095,K09882,0.4944740638007397
K08726,K09882,0.6251691525616425
K09146,K09882,0.5772353624694528
K09472,K09882,0.3974635290984522
K00076,K10215,0.5688180082868761
K00365,K10215,0.5488157288703936
K00545,K10215,0.5673022700980175
K01569,K10215,0.5666513607473626
K01822,K10215,0.5279963413144703
K02164,K10215,0.5270953029115834
K03607,K10215,0.3658882887447623
K03822,K10215,0.6014363849386316
K03829,K10215,0.5877424052529578
K04781,K10215,0.5477894877404362
K04789,K10215,0.5973363269258098
K04790,K10215,0.5562865433159956
K04791,K10215,0.5659572077436446
K05898,K10215,0.573927425524076
K06718,K10215,0.5893959639765861
K06937,K10215,0.5363600934137255
K07011,K10215,0.2904270991083237
K07068,K10215,0.5581597410427939
K07334,K10215,0.3831101792483082
K07671,K10215,0.5473026381081285
K08095,K10215,0.5663621231170737
K08726,K10215,0.6373980418107329
K09146,K10215,0.5135411911294496
K09472,K10215,0.3766882494108773
K09882,K10215,0.5440992303029172
K00076,K10533,0.5795198181999186
K00365,K10533,0.5359106477760829
K00545,K10533,0.4937883520529392
K01569,K10533,0.4450869937998174
K01822,K10533,0.6533116393055137
K02164,K10533,0.5194605368028892
K03607,K10533,0.309823521690713
K03822,K10533,0.6791754829306941
K03829,K10533,0.6276049079348842
K04781,K10533,0.4759876041971148
K04789,K10533,0.643384914980524
K04790,K10533,0.6594536300567826
K04791,K10533,0.5368371499236282
K05898,K10533,0.7108567811317223
K06718,K10533,0.696894939891224
K06937,K10533,0.6111020019525828
K07011,K10533,0.2715916001193247
K07068,K10533,0.6824232824205878
K07334,K10533,0.2964584981177553
K07671,K10533,0.7109070120739519
K08095,K10533,0.6491438884629204
K08726,K10533,0.5346282940800161
K09146,K10533,0.5237957197246407
K09472,K10533,0.3219090337547315
K09882,K10533,0.6395832072471132
K10215,K10533,0.5301566417473842
K00076,K10576,0.4661568521872947
K00365,K10576,0.4048107147749794
K00545,K10576,0.4715695355217312
K01569,K10576,0.4539594094079139
K01822,K10576,0.4685519447575352
K02164,K10576,0.3920711804557687
K03607,K10576,0.4259692649797365
K03822,K10576,0.492670853959443
K03829,K10576,0.355235490933303
K04781,K10576,0.5059932621053024
K04789,K10576,0.5007688604310171
K04790,K10576,0.4831255393851122
K04791,K10576,0.5215876401465103
K05898,K10576,0.4291976177244076
K06718,K10576,0.4498677053596058
K06937,K10576,0.4191910046641325
K07011,K10576,0.2311301729766324
K07068,K10576,0.4214483339125222
K07334,K10576,0.3414095525186896
K07671,K10576,0.4303738831670535
K08095,K10576,0.4845209987023686
K08726,K10576,0.4262542521994958
K09146,K10576,0.5028117060420363
K09472,K10576,0.3691966546583907
K09882,K10576,0.4130360304081948
K10215,K10576,0.4939078468519631
K10533,K10576,0.4250456465060752
K00076,K10674,0.6109390459162377
K00365,K10674,0.6020127863213064
K00545,K10674,0.5596140105338235
K01569,K10674,0.5461437378821999
K01822,K10674,0.5017040354945224
K02164,K10674,0.6863341044219423
K03607,K10674,0.3937008924949468
K03822,K10674,0.5728486287994484
K03829,K10674,0.6386505824655914
K04781,K10674,0.4967801388448123
K04789,K10674,0.4858576396791417
K04790,K10674,0.4877931587376823
K04791,K10674,0.4921263932833353
K05898,K10674,0.5968515095885516
K06718,K10674,0.5537010330518384
K06937,K10674,0.5843126664711635
K07011,K10674,0.3126103346496342
K07068,K10674,0.5688048558829928
K07334,K10674,0.3881882585473678
K07671,K10674,0.5256672757514572
K08095,K10674,0.5248738039368982
K08726,K10674,0.5871714379858725
K09146,K10674,0.5309770667925848
K09472,K10674,0.4575749799907296
K09882,K10674,0.5403743576582808
K10215,K10674,0.5505298820735005
K10533,K10674,0.5136093595813334
K10576,K10674,0.4239838212486783
K00076,K11081,0.489035916230104
K00365,K11081,0.5250292510175214
K00545,K11081,0.4396320521947689
K01569,K11081,0.4793651241882981
K01822,K11081,0.6066866797274816
K02164,K11081,0.4802550888700409
K03607,K11081,0.3985950269239203
K03822,K11081,0.6153978522404223
K03829,K11081,0.5540304355065706
K04781,K11081,0.5806480212425132
K04789,K11081,0.5732622451156851
K04790,K11081,0.6185516220295527
K04791,K11081,0.6041822145490873
K05898,K11081,0.5492710126070296
K06718,K11081,0.60882447044598
K06937,K11081,0.4703117248162468
K07011,K11081,0.3189948018749511
K07068,K11081,0.5733855095512261
K07334,K11081,0.3730686873630805
K07671,K11081,0.570155294612872
K08095,K11081,0.5604759489224648
K08726,K11081,0.5045939869034601
K09146,K11081,0.5353840628084406
K09472,K11081,0.3823231112326622
K09882,K11081,0.4928059737195933
K10215,K11081,0.5146563919955109
K10533,K11081,0.4976100420884177
K10576,K11081,0.5398776462598557
K10674,K11081,0.4901387328515519
K00076,K11082,0.4551181200755297
K00365,K11082,0.5392917524718116
K00545,K11082,0.4747136645026321
K01569,K11082,0.5178289876414284
K01822,K11082,0.5495877216148491
K02164,K11082,0.4237776093807768
K03607,K11082,0.3999774338241442
K03822,K11082,0.6020603951217792
K03829,K11082,0.525653662231321
K04781,K11082,0.5782329269452433
