source,target,Value
K00076,K01822,0.5693147603914186
K00076,K03607,0.3614468494550871
K01822,K03607,0.3963725036939793
K00076,K03822,0.6188229261397634
K01822,K03822,0.6542346828154635
K03607,K03822,0.3342470875872551
K00076,K04073,0.6268764565134711
K01822,K04073,0.6456544692233315
K03607,K04073,0.3189640386086708
K03822,K04073,0.6538048413901371
K00076,K04789,0.5366753823505411
K01822,K04789,0.5965051626953074
K03607,K04789,0.3542233180324048
K03822,K04789,0.6011594997438019
K04073,K04789,0.5406680278696079
K00076,K04790,0.5419586677962
K01822,K04790,0.6156752796922133
K03607,K04790,0.3276149248242755
K03822,K04790,0.6306275809117445
K04073,K04790,0.5636224891309575
K04789,K04790,0.6556206676404653
K00076,K05898,0.5914486988013554
K01822,K05898,0.5928916002294594
K03607,K05898,0.3808698142936959
K03822,K05898,0.6070667033889313
K04073,K05898,0.6545506153795466
K04789,K05898,0.585972107832336
K04790,K05898,0.516941251364652
K00076,K07068,0.6524691793693325
K01822,K07068,0.6474957429899274
K03607,K07068,0.3298253157836686
K03822,K07068,0.5984852428758336
K04073,K07068,0.7330234931397626
K04789,K07068,0.516871257643894
K04790,K07068,0.5914884648287092
K05898,K07068,0.6597175835286968
K00076,K07334,0.3704487483650368
K01822,K07334,0.319611608523973
K03607,K07334,0.751034412193709
K03822,K07334,0.2978692245364489
K04073,K07334,0.3111903674197389
K04789,K07334,0.3387365140727096
K04790,K07334,0.2554221474369475
K05898,K07334,0.3928626713930443
K07068,K07334,0.3497494644354972
K00076,K07671,0.4779069169024118
K01822,K07671,0.6299166708673216
K03607,K07671,0.3493623681142672
K03822,K07671,0.6038982422222414
K04073,K07671,0.5289307134098571
K04789,K07671,0.623781013559306
K04790,K07671,0.5924516483855187
K05898,K07671,0.567164947024151
K07068,K07671,0.5759597530957538
K07334,K07671,0.2981349118554635
K00076,K08726,0.6785152111511237
K01822,K08726,0.6192053822429483
K03607,K08726,0.389687621109649
K03822,K08726,0.5438590731244987
K04073,K08726,0.613707677339079
K04789,K08726,0.5562506365942318
K04790,K08726,0.5648655156219063
K05898,K08726,0.5935873277645835
K07068,K08726,0.608165320101886
K07334,K08726,0.3771766485426471
K07671,K08726,0.5517315869856209
K00076,K09472,0.4053663699250044
K01822,K09472,0.3826144636420368
K03607,K09472,0.8442107940495537
K03822,K09472,0.3486004356990346
K04073,K09472,0.3438857500863344
K04789,K09472,0.3682502561715673
K04790,K09472,0.31863517579922
K05898,K09472,0.4267832796752718
K07068,K09472,0.3413991643397095
K07334,K09472,0.7663468940179937
K07671,K09472,0.3453008401210699
K08726,K09472,0.4047091463106635
K00076,K09882,0.6748266567165405
K01822,K09882,0.5750565804981618
K03607,K09882,0.2650355910970311
K03822,K09882,0.5739060076179809
K04073,K09882,0.7179034415663025
K04789,K09882,0.5289057776056275
K04790,K09882,0.4911208366403293
K05898,K09882,0.6653515278567033
K07068,K09882,0.7017921469476527
K07334,K09882,0.3443704408104659
K07671,K09882,0.5149478530207371
K08726,K09882,0.6510943324099828
K09472,K09882,0.3201421658365299
K00076,K10533,0.5691084713730802
K01822,K10533,0.6256435345664458
K03607,K10533,0.2802311475836402
K03822,K10533,0.6028139865751269
K04073,K10533,0.6418857152979734
K04789,K10533,0.5686192019727662
K04790,K10533,0.6430060318034805
K05898,K10533,0.6301265695647892
K07068,K10533,0.6608635796672996
K07334,K10533,0.2892775860890637
K07671,K10533,0.5847329410970107
K08726,K10533,0.5179687299324257
K09472,K10533,0.331795582435699
K09882,K10533,0.6280577576944971
K00076,K11082,0.3400345854513108
K01822,K11082,0.3921198082677678
K03607,K11082,0.2836238368038611
K03822,K11082,0.3729946991509625
K04073,K11082,0.3541722205966724
K04789,K11082,0.3778395768596583
K04790,K11082,0.4225958195032457
K05898,K11082,0.3485158153829192
K07068,K11082,0.3686904242598504
K07334,K11082,0.2523815829464511
K07671,K11082,0.4171185883760578
K08726,K11082,0.3420746769424742
K09472,K11082,0.2551694324880937
K09882,K11082,0.338237299361685
K10533,K11082,0.3605969190440245
K00076,K11084,0.3616584971795659
K01822,K11084,0.4477640179187874
K03607,K11084,0.3287533111334481
K03822,K11084,0.3884531649263698
K04073,K11084,0.3312092908697528
K04789,K11084,0.4372680652740613
K04790,K11084,0.4919606743321403
K05898,K11084,0.3590519569294885
K07068,K11084,0.3740806184067162
K07334,K11084,0.3202698693460602
K07671,K11084,0.4367935340436463
K08726,K11084,0.3914611644550507
K09472,K11084,0.3484828714020268
K09882,K11084,0.3386647154011312
K10533,K11084,0.377227335025822
K11082,K11084,0.7259078260093114
K00076,K11534,0.2903753154101349
K01822,K11534,0.3356387981767614
K03607,K11534,0.8179658234597557
K03822,K11534,0.2432727344003962
K04073,K11534,0.279995384135359
K04789,K11534,0.3368616977918044
K04790,K11534,0.3192847226026976
K05898,K11534,0.4138742113142354
K07068,K11534,0.3163955395791515
K07334,K11534,0.768265426041129
K07671,K11534,0.3470946954516808
K08726,K11534,0.3742878331901334
K09472,K11534,0.8225941822142265
K09882,K11534,0.2878723387736822
K10533,K11534,0.2721164074496553
K11082,K11534,0.2989503040021665
K11084,K11534,0.3443927075719915
K00076,K11608,0.5798516913736346
K01822,K11608,0.6370150092917944
K03607,K11608,0.3189695037931427
K03822,K11608,0.6430075316809968
K04073,K11608,0.6444769070880562
K04789,K11608,0.5959439381229652
K04790,K11608,0.6245386614888173
K05898,K11608,0.6531734071558822
K07068,K11608,0.6191585575377301
K07334,K11608,0.2557528790793694
K07671,K11608,0.6083214057521841
K08726,K11608,0.5534024912411422
K09472,K11608,0.3543237748329407
K09882,K11608,0.560634475961768
K10533,K11608,0.6296633307721702
K11082,K11608,0.4490300081820415
K11084,K11608,0.4140156041776094
K11534,K11608,0.3136324174644061
K00076,K11609,0.5653550245604393
K01822,K11609,0.6622385693735773
K03607,K11609,0.3868317764016966
K03822,K11609,0.6542493427184236
K04073,K11609,0.6584698166758745
K04789,K11609,0.6204983663359274
K04790,K11609,0.595394782642725
K05898,K11609,0.6227685931486574
K07068,K11609,0.641864334426407
K07334,K11609,0.3445678056962244
K07671,K11609,0.6306841095622034
K08726,K11609,0.58114807048962
K09472,K11609,0.4019611791569273
K09882,K11609,0.5796010213814979
K10533,K11609,0.6142958166495105
K11082,K11609,0.4239339858950881
K11084,K11609,0.4025266111022225
K11534,K11609,0.3242461166156796
K11608,K11609,0.6888083581094163
K00076,K11610,0.569294165217826
K01822,K11610,0.6448504569747131
K03607,K11610,0.3707033629560797
K03822,K11610,0.598754124305566
K04073,K11610,0.6156656991951635
K04789,K11610,0.5542761136625904
K04790,K11610,0.5154810384596125
K05898,K11610,0.6006175000140279
K07068,K11610,0.6272976915198984
K07334,K11610,0.3624869927973435
K07671,K11610,0.5792072066298117
K08726,K11610,0.5583255557011666
K09472,K11610,0.3965614708444386
K09882,K11610,0.5568660041899284
K10533,K11610,0.5761358782262539
K11082,K11610,0.4667035344205836
K11084,K11610,0.5103312708069437
K11534,K11610,0.3516735076528286
K11608,K11610,0.6772662024927412
K11609,K11610,0.6356313078167624
K00076,K12234,0.6320087042261635
K01822,K12234,0.5751208996024357
K03607,K12234,0.3199078496655249
K03822,K12234,0.6222954698076647
K04073,K12234,0.6003394113511776
K04789,K12234,0.5776775262940921
K04790,K12234,0.5506895210133477
K05898,K12234,0.5932560788640502
K07068,K12234,0.5872545704786325
K07334,K12234,0.2973747101911126
K07671,K12234,0.5164196648611551
K08726,K12234,0.6124144770432399
K09472,K12234,0.3447750146755862
K09882,K12234,0.6031617037331111
K10533,K12234,0.6419466183113511
K11082,K12234,0.3696943720294269
K11084,K12234,0.3957705188818335
K11534,K12234,0.2528563473682549
K11608,K12234,0.5808922395715848
K11609,K12234,0.6025359727519121
K11610,K12234,0.5659574551303402
K00076,K12421,0.5013122777233023
K01822,K12421,0.6067698282714775
K03607,K12421,0.2987411870241742
K03822,K12421,0.6065040571046076
K04073,K12421,0.5834326740080664
K04789,K12421,0.561450001266182
K04790,K12421,0.5845793768342616
K05898,K12421,0.5366482363247056
K07068,K12421,0.553914150792333
K07334,K12421,0.2484972708339341
K07671,K12421,0.5809067013572426
K08726,K12421,0.5035411954976274
K09472,K12421,0.2865108053292078
K09882,K12421,0.487839349517474
K10533,K12421,0.6253203093058548
K11082,K12421,0.4579922203630873
K11084,K12421,0.4089383007553597
K11534,K12421,0.2368121429805551
K11608,K12421,0.5738709341904061
K11609,K12421,0.6500448866201848
K11610,K12421,0.5797860653782053
K12234,K12421,0.5679545654484017
K00076,K12429,0.5383257168439418
K01822,K12429,0.6411183004574591
K03607,K12429,0.2933308935946907
K03822,K12429,0.6913057017386987
