source,target,Value
K00066,K00132,0.5817748858103026
K00066,K00170,0.6768300387707685
K00132,K00170,0.6174582153212196
K00066,K00246,0.4126313096589591
K00132,K00246,0.6189689757496093
K00170,K00246,0.699411514678382
K00066,K00313,0.6902728688738712
K00132,K00313,0.5815237531742409
K00170,K00313,0.7109286674674832
K00246,K00313,0.6038451132160991
K00066,K00368,0.720617296299365
K00132,K00368,0.6500767658796633
K00170,K00368,0.8735218901333286
K00246,K00368,0.5894225335056437
K00313,K00368,0.7306134631670385
K00066,K00381,0.6684311759976587
K00132,K00381,0.632687415017328
K00170,K00381,0.7414491642117924
K00246,K00381,0.6436238213441671
K00313,K00381,0.5580439791652828
K00368,K00381,0.8073557230217279
K00066,K00416,-0.3256332088741007
K00132,K00416,-0.2298445929829345
K00170,K00416,-0.1191099410864616
K00246,K00416,-0.1926941736407904
K00313,K00416,-0.2071105218500691
K00368,K00416,-0.0918843129959146
K00381,K00416,-0.1835796226620246
K00066,K00452,0.5870961390239703
K00132,K00452,0.6263104657129415
K00170,K00452,0.523815397188187
K00246,K00452,0.4470265267684344
K00313,K00452,0.5233640006285885
K00368,K00452,0.6590712982464575
K00381,K00452,0.6864362694371013
K00416,K00452,-0.096823829197751
K00066,K00455,0.5049200679171093
K00132,K00455,0.7496160723674111
K00170,K00455,0.7381373156726236
K00246,K00455,0.7329477807421336
K00313,K00455,0.6082741657186489
K00368,K00455,0.7042347167398035
K00381,K00455,0.7002603726535064
K00416,K00455,-0.0203486825378434
K00452,K00455,0.6375865452958964
K00066,K00528,0.6754845206909127
K00132,K00528,0.6247626584722253
K00170,K00528,0.665581175359736
K00246,K00528,0.5476500764097502
K00313,K00528,0.463678298151684
K00368,K00528,0.75149509336484
K00381,K00528,0.918498620036606
K00416,K00528,-0.2497795209686269
K00452,K00528,0.6288603846972376
K00455,K00528,0.5887563413968233
K00066,K00674,-0.4174041938585903
K00132,K00674,-0.5690633598047077
K00170,K00674,-0.5546270396845018
K00246,K00674,-0.5893313156216219
K00313,K00674,-0.6280952909015024
K00368,K00674,-0.5134991189493431
K00381,K00674,-0.4338452879895539
K00416,K00674,0.1641968143682578
K00452,K00674,-0.4580200609710691
K00455,K00674,-0.6962050409237333
K00528,K00674,-0.3608530590562819
K00066,K00889,0.7268499208873044
K00132,K00889,0.6554516414047123
K00170,K00889,0.6675081993139691
K00246,K00889,0.4691590510287442
K00313,K00889,0.6577694083932634
K00368,K00889,0.7306532679534533
K00381,K00889,0.7521674782789178
K00416,K00889,-0.1580145067572656
K00452,K00889,0.8046785357693238
K00455,K00889,0.6152686119340556
K00528,K00889,0.7337915711457553
K00674,K00889,-0.4786918494614242
K00066,K00906,0.4404041923248507
K00132,K00906,0.5300610463910586
K00170,K00906,0.5279891734533237
K00246,K00906,0.5933191254289154
K00313,K00906,0.387474726492073
K00368,K00906,0.6212698196124327
K00381,K00906,0.8415648611769637
K00416,K00906,-0.193402118448581
K00452,K00906,0.6423302320400585
K00455,K00906,0.576313467933805
K00528,K00906,0.7639407884749205
K00674,K00906,-0.391190924573139
K00889,K00906,0.5967103585501792
K00066,K00992,0.5217635010455676
K00132,K00992,0.6052816003500563
K00170,K00992,0.5652616576465275
K00246,K00992,0.6405522702515752
K00313,K00992,0.5466499415783168
K00368,K00992,0.6450135634488918
K00381,K00992,0.6275255589387659
K00416,K00992,-0.2680341150604301
K00452,K00992,0.5498027674605147
K00455,K00992,0.6457414722046494
K00528,K00992,0.5876945643827687
K00674,K00992,-0.6097581020688139
K00889,K00992,0.5185277070547628
K00906,K00992,0.6347321080819651
K00066,K01295,0.5965616424204954
K00132,K01295,0.5816291161611873
K00170,K01295,0.6860247687423829
K00246,K01295,0.7436633151088432
K00313,K01295,0.5701990981714634
K00368,K01295,0.6814111267163493
K00381,K01295,0.8174572840955068
K00416,K01295,-0.3492965461655218
K00452,K01295,0.5678974634109298
K00455,K01295,0.5977061350027311
K00528,K01295,0.7630112656588051
K00674,K01295,-0.4695211014360102
K00889,K01295,0.6182094606709848
K00906,K01295,0.7588259511138953
K00992,K01295,0.5686686627767469
K00066,K01473,0.517655340430494
K00132,K01473,0.5831944798478704
K00170,K01473,0.6872268406019764
K00246,K01473,0.7163887517142755
K00313,K01473,0.5988417706863761
K00368,K01473,0.661885919504872
K00381,K01473,0.7207110684411216
K00416,K01473,-0.1234937649157564
K00452,K01473,0.5666060666429462
K00455,K01473,0.6568372403797923
K00528,K01473,0.6899827583206285
K00674,K01473,-0.5564175457353512
K00889,K01473,0.6494120767789179
K00906,K01473,0.5951830150642008
K00992,K01473,0.5130535500965446
K01295,K01473,0.7712573255859874
K00066,K01474,0.5453874504737878
K00132,K01474,0.5873574655556616
K00170,K01474,0.6982269406024182
K00246,K01474,0.7078278693642239
K00313,K01474,0.6071760546053786
K00368,K01474,0.6753260144272563
K00381,K01474,0.7376584533752356
K00416,K01474,-0.1291959422590972
K00452,K01474,0.5711045094464062
K00455,K01474,0.6557698436697372
K00528,K01474,0.7127507080281837
K00674,K01474,-0.5531548712707535
K00889,K01474,0.663982696221189
K00906,K01474,0.5953740421034289
K00992,K01474,0.5131523863893922
K01295,K01474,0.7781077844414839
K01473,K01474,0.9950794902271136
K00066,K01512,0.8349037587916263
K00132,K01512,0.5623409220928985
K00170,K01512,0.7702053346514698
K00246,K01512,0.563120690543454
K00313,K01512,0.7920320399186932
K00368,K01512,0.811641639926842
K00381,K01512,0.7289091009277947
K00416,K01512,-0.2459442135249351
K00452,K01512,0.5949323418956846
K00455,K01512,0.5644033687520866
K00528,K01512,0.6938034106865708
K00674,K01512,-0.4512907977557874
K00889,K01512,0.772394892583755
K00906,K01512,0.493391271316219
K00992,K01512,0.5403436005704946
K01295,K01512,0.6907518933424226
K01473,K01512,0.6835406238028784
K01474,K01512,0.6968085848857896
K00066,K01662,-0.5192046490969211
K00132,K01662,-0.5771769967417387
K00170,K01662,-0.6823498636858382
K00246,K01662,-0.6309498521665955
K00313,K01662,-0.6407055414400282
K00368,K01662,-0.7198858205542906
K00381,K01662,-0.5706767926330766
K00416,K01662,0.0643527099285596
K00452,K01662,-0.5112669572076591
K00455,K01662,-0.7341151545985874
K00528,K01662,-0.5068489858765711
K00674,K01662,0.816117688648528
K00889,K01662,-0.502514183603858
K00906,K01662,-0.5247752340270339
K00992,K01662,-0.7559079049585256
K01295,K01662,-0.519460785580136
K01473,K01662,-0.5793742039182772
K01474,K01662,-0.5749005744593741
K01512,K01662,-0.5496255523921847
K00066,K01808,-0.0588667613558314
K00132,K01808,-0.3317272386555998
K00170,K01808,-0.2344942356906221
K00246,K01808,-0.3385828114643429
K00313,K01808,-0.2659223212972986
K00368,K01808,-0.3172046803825568
K00381,K01808,-0.2934413940079234
K00416,K01808,-0.0833250378531109
K00452,K01808,-0.3060909637478589
K00455,K01808,-0.4546794539361323
K00528,K01808,-0.2151114157109135
K00674,K01808,0.6491667648645799
K00889,K01808,-0.2461403446872433
K00906,K01808,-0.4300033258760221
K00992,K01808,-0.356007758945547
K01295,K01808,-0.3326443783488582
K01473,K01808,-0.3428939560862015
K01474,K01808,-0.3272926018098219
K01512,K01808,-0.0772075354712067
K01662,K01808,0.5465210029831493
K00066,K01918,-0.3964428140248052
K00132,K01918,-0.5360970701123363
K00170,K01918,-0.5640040798925523
K00246,K01918,-0.596883803942558
K00313,K01918,-0.6464920230593295
K00368,K01918,-0.5322230655538653
K00381,K01918,-0.4221388906359455
K00416,K01918,0.1385448798667195
K00452,K01918,-0.3936930470760921
K00455,K01918,-0.6360686557512849
K00528,K01918,-0.3338524954448916
K00674,K01918,0.8802398923337406
K00889,K01918,-0.4249241404626492
K00906,K01918,-0.4206413380577571
K00992,K01918,-0.5730570704916589
K01295,K01918,-0.5260133534264188
K01473,K01918,-0.5147045256694818
K01474,K01918,-0.5152452496692008
K01512,K01918,-0.4506147763587507
K01662,K01918,0.7338547125695396
K01808,K01918,0.7029316728583036
K00066,K01975,0.8497675366955009
K00132,K01975,0.5928654647818475
K00170,K01975,0.8247308991488609
K00246,K01975,0.5533335762613845
K00313,K01975,0.8235885596357923
K00368,K01975,0.8065508216252395
