source,target,Value
K00096,K00265,-0.5681262160235787
K00096,K00570,-0.059121086969655
K00265,K00570,0.066310703494842
K00096,K00619,-0.6774331426933892
K00265,K00619,0.6572905918960215
K00570,K00619,0.1098016236737981
K00096,K00801,-0.4232102892867769
K00265,K00801,0.5446004979952416
K00570,K00801,-0.2821880053728425
K00619,K00801,0.5414758197829715
K00096,K00835,-0.4102691119375442
K00265,K00835,0.5106883228526458
K00570,K00835,-0.1772867289499105
K00619,K00835,0.5177640045370467
K00801,K00835,0.9010132262248738
K00096,K01137,-0.4865847315597849
K00265,K01137,0.6273949644583999
K00570,K01137,-0.1558990990868959
K00619,K01137,0.5278391145407952
K00801,K01137,0.7923720891140216
K00835,K01137,0.8013176639289893
K00096,K01308,0.7232532603879717
K00265,K01308,-0.5534241297605517
K00570,K01308,-0.0275254770040623
K00619,K01308,-0.5992714870154074
K00801,K01308,-0.5110200505215188
K00835,K01308,-0.5427426931674288
K01137,K01308,-0.6252335728458323
K00096,K01669,-0.5765533089664471
K00265,K01669,0.105602603696893
K00570,K01669,0.0869950577532202
K00619,K01669,0.391500723650071
K00801,K01669,0.2645243122335693
K00835,K01669,0.3317860863100138
K01137,K01669,0.3256530326304603
K01308,K01669,-0.398610471681711
K00096,K01731,0.8039929956921849
K00265,K01731,-0.6187602218428038
K00570,K01731,-0.0240327591609489
K00619,K01731,-0.7253645391163054
K00801,K01731,-0.5031324274098149
K00835,K01731,-0.5101932979351678
K01137,K01731,-0.5892885694537517
K01308,K01731,0.8121319414627414
K01669,K01731,-0.3715625750477577
K00096,K01792,-0.4619725359030497
K00265,K01792,0.5526282387509519
K00570,K01792,-0.0962381677519425
K00619,K01792,0.5607219649332272
K00801,K01792,0.8386415760562249
K00835,K01792,0.8680796816550553
K01137,K01792,0.803294404926964
K01308,K01792,-0.5646488138910392
K01669,K01792,0.3079564278675047
K01731,K01792,-0.5555836263617633
K00096,K02001,-0.6710254088728785
K00265,K02001,0.6413322802488874
K00570,K02001,-0.1426449950235492
K00619,K02001,0.7064532969834868
K00801,K02001,0.587649371173704
K00835,K02001,0.5301927614432635
K01137,K02001,0.5487488200959334
K01308,K02001,-0.5926239140066653
K01669,K02001,0.4911662693497471
K01731,K02001,-0.6269010939910574
K01792,K02001,0.5664913336200043
K00096,K02002,-0.6954807266282675
K00265,K02002,0.6176764076977903
K00570,K02002,-0.1220849547089128
K00619,K02002,0.7155429374720256
K00801,K02002,0.5779599379893696
K00835,K02002,0.5296322830938291
K01137,K02002,0.5410144285411569
K01308,K02002,-0.6116853846005663
K01669,K02002,0.5496214651645107
K01731,K02002,-0.6300006357058091
K01792,K02002,0.5661515085527218
K02001,K02002,0.979663269827204
