source,target,Value
K00029,K00104,0.878068070141241
K00029,K00208,0.9406487821121968
K00104,K00208,0.8348846275675544
K00029,K00278,0.93754822413359
K00104,K00278,0.7996261868213088
K00208,K00278,0.9088264377898524
K00029,K00432,0.9240759240759242
K00104,K00432,0.8755375721839136
K00208,K00432,0.9090716194374732
K00278,K00432,0.870557795862674
K00029,K00480,-0.3536549832281539
K00104,K00480,-0.3314926942975724
K00208,K00480,-0.3473569113813016
K00278,K00480,-0.3693263037775233
K00432,K00480,-0.3101172201781957
K00029,K00561,-0.6438226407738602
K00104,K00561,-0.4973151848151848
K00208,K00561,-0.6274106990570405
K00278,K00561,-0.7169740828277414
K00432,K00561,-0.564527444100615
K00480,K00561,0.564311704555607
K00029,K00563,-0.713808549174403
K00104,K00563,-0.5511520999325877
K00208,K00563,-0.6973732568244764
K00278,K00563,-0.7686378661988418
K00432,K00563,-0.6420180429326772
K00480,K00563,0.5793241311533994
K00561,K00563,0.88895707950586
K00029,K00663,-0.8858230184449698
K00104,K00663,-0.8291439251805106
K00208,K00663,-0.8445492515614467
K00278,K00663,-0.8534859449493596
K00432,K00663,-0.8435147169903268
K00480,K00663,0.4719320313832509
K00561,K00663,0.6439180737961226
K00563,K00663,0.7428770416575295
K00029,K00677,0.978401171998733
K00104,K00677,0.8630236633285414
K00208,K00677,0.9476072707780026
K00278,K00677,0.9408274652177092
K00432,K00677,0.9250688336054188
K00480,K00677,-0.3176229258546331
K00561,K00677,-0.6419337776045094
K00563,K00677,-0.7143796244406001
K00663,K00677,-0.8765380960502911
K00029,K00705,0.8944419401736476
K00104,K00705,0.7561569528032943
K00208,K00705,0.8826574847916312
K00278,K00705,0.8836752678216093
K00432,K00705,0.7941494481128628
K00480,K00705,-0.4004156412692998
K00561,K00705,-0.6611741916619964
K00563,K00705,-0.7437775638995152
K00663,K00705,-0.835569917886991
K00677,K00705,0.903563408136579
K00029,K00767,0.9535109199743348
K00104,K00767,0.825512901732414
K00208,K00767,0.94010816419353
K00278,K00767,0.9641537324464154
K00432,K00767,0.9030923344947736
